Name,ctrl_1,ctrl_2,ctrl_3,ctrl_4,sp1A,sp1B1,sp1B2,sp2A1,sp2A2,sp2B1,sp2B2,sp3A,sp4A1,sp4A2,sp4B,sp4C1,sp4C2,sp4D,sp5A,sp5B,sp5C,sp6A,clin1,clin2
PA0174,2451,2503,2660,176,4,136,121,127,193,138,142,31,78,15,2,187,5,28,208,908,238,2065,122,70
PA0175,11982,10616,12339,690,11,408,368,380,834,574,576,56,257,62,6,1222,25,97,1045,1299,1287,3193,309,132
PA0176,80194,82167,83035,10186,34,3510,2985,1959,5390,3742,3628,1720,1941,353,47,12383,118,620,6465,4388,11713,11661,2631,379
PA0177,19786,20917,21771,1012,10,747,556,401,1170,896,786,888,784,125,10,1983,24,156,1563,835,2472,2415,281,77
PA0178,79213,81034,80670,6466,39,2601,2209,1625,4511,3188,3075,4649,2122,470,49,6762,72,974,4900,3727,8971,10748,1781,279
PA0179,88473,74895,86707,6601,15,2985,3012,1357,4257,2938,2770,14239,2953,845,114,10771,95,2463,8523,1047,13908,4826,951,91
PA0180,12749,14077,13162,2771,13,3150,2787,867,2314,1924,1682,15259,2015,269,67,2129,36,855,2468,2188,3887,6082,1172,203
PA0181,2323,2265,2356,1536,11,1166,1171,646,1146,947,903,6072,1680,353,40,907,16,1869,1058,1573,1193,3461,1436,121
PA0182,392,401,354,380,5,333,328,157,218,179,205,196,180,34,1,175,3,91,207,1411,206,2428,1332,108
PA0183,1452,1491,1607,705,23,635,669,374,450,366,390,281,258,116,4,758,9,174,710,2962,699,5178,2605,244
PA0184,394,458,420,351,4,300,364,201,215,200,173,347,302,106,1,314,2,126,242,1477,270,3177,1478,106
PA0185,1343,1373,1464,623,16,471,473,299,369,284,290,324,352,105,5,530,6,189,486,2798,536,6227,1481,141
PA0186,504,517,531,720,15,541,569,345,455,349,298,330,463,95,3,520,7,279,541,1938,555,4204,2306,131
PA0187,224,233,231,249,12,199,163,134,205,165,178,213,122,37,3,228,11,84,171,1224,460,2389,1408,110
PA0188,161,157,175,159,8,205,175,142,136,142,151,189,100,41,1,203,11,48,172,1610,350,2911,1062,89
PA0189,748,775,827,788,12,592,552,300,355,304,336,255,326,76,4,613,9,144,519,2502,637,5149,1399,168
PA0190,303,377,362,346,5,310,313,161,228,188,151,760,241,64,5,289,7,123,273,1238,284,2573,700,73
PA0191,554,556,641,752,12,381,360,210,243,191,215,327,212,71,2,485,8,188,329,1437,492,3224,894,109
PA0192,1079,1219,1194,826,35,829,724,533,472,331,403,359,416,107,4,612,24,221,575,4733,675,10049,1253,356
PA0193,146,175,180,171,4,168,155,153,130,88,102,104,107,32,4,127,6,63,109,1766,138,3639,627,116
PA0194,1330,1235,1297,647,5,620,758,288,493,433,427,349,623,140,4,862,6,308,674,1792,678,3592,3302,194
PA0195,4913,4976,4982,5694,26,2166,2200,1308,2760,2233,2115,2139,1519,268,18,2519,29,1093,2869,2360,2964,5501,17630,465
PA0195.1,646,654,658,313,2,270,249,101,224,202,147,365,193,63,2,299,3,100,311,477,340,934,1390,57
PA0196,3799,3968,4253,2893,18,1724,1620,809,1622,1338,1424,2130,1960,314,13,2150,34,858,2440,2918,3014,5509,13528,359
PA0197,355,379,379,676,12,210,232,249,338,386,410,64,581,100,1,428,8,94,642,1833,392,3630,1881,111
PA0198,2260,2169,2266,3194,8,683,784,562,998,1176,1231,404,1251,98,7,1919,9,211,2349,1468,1842,3472,6357,133
PA0199,885,860,912,4924,7,1182,1278,739,1664,1589,1731,942,1027,115,12,6480,16,163,5849,929,5240,1904,8985,137
PA0200,1211,1110,1058,8370,129,3685,3747,4666,5157,5369,5893,5988,3651,1371,50,10941,634,1044,9977,3376,6458,9321,7989,748
PA0201,565,608,593,2486,8,441,458,389,698,626,654,397,498,64,4,2448,7,197,737,1074,2440,2545,17017,80
PA0202,406,469,452,1395,23,274,272,426,457,385,392,111,194,51,7,1618,19,121,434,2759,1292,6162,14404,286
PA0203,152,189,160,155,14,105,106,150,125,85,61,206,163,40,1,134,7,59,150,1722,112,3412,552,103
PA0204,334,394,366,203,15,200,195,155,142,108,94,89,82,35,1,243,8,47,152,1469,202,3133,331,110
PA0205,861,958,982,723,18,829,702,330,434,335,328,198,236,112,1,718,14,199,559,1687,555,4124,1407,185
PA0206,1123,1066,1051,663,14,601,563,310,398,316,333,711,467,98,6,680,8,259,587,1884,526,4565,1748,164
PA0207,1562,1491,1666,1774,10,1546,1576,502,963,814,747,843,776,137,8,1224,8,746,1561,1678,1217,4343,1369,140
PA0208,1267,1400,1208,1088,31,8164,7943,2595,6567,5829,5724,10642,3025,322,61,5939,26,745,7781,3431,5306,11627,3972,415
PA0209,852,960,808,598,11,585,687,464,629,650,771,4286,1014,68,23,408,5,152,1289,1640,402,4668,388,102
PA0210,91,88,105,58,5,62,57,85,114,89,87,404,85,20,2,33,2,9,149,580,45,1542,36,33
PA0211,655,666,625,439,9,441,552,322,548,397,431,814,554,50,4,178,4,64,820,1623,225,5266,214,105
PA0212,833,857,752,526,14,439,664,278,472,438,442,859,523,45,2,273,4,60,1160,1757,272,5002,251,87
PA0213,688,799,639,588,7,393,538,245,546,407,455,222,350,46,2,316,2,81,758,1125,374,3634,550,65
PA0214,4355,4478,4274,1940,7,1899,2070,650,1145,913,1044,632,843,147,5,2052,9,428,2215,1824,1766,5516,1385,121
PA0215,2287,2323,2398,809,1,621,693,227,483,397,356,3495,922,75,21,951,6,263,1010,728,844,2062,751,46
PA0216,1005,1184,1091,1207,9,652,728,293,549,491,506,1795,790,87,13,917,8,639,946,1571,842,3565,2193,180
PA0217,699,655,714,727,10,615,602,326,549,418,445,884,424,81,5,436,10,213,529,1409,527,3439,872,137
PA0218,694,685,705,660,11,629,567,214,290,247,260,670,367,109,4,477,6,189,417,1506,596,3886,770,116
PA0219,460,578,591,447,14,374,382,224,149,158,135,535,248,70,3,277,9,114,287,2903,330,9399,349,175
PA0220,2314,2412,2264,834,14,1016,1003,478,656,460,464,714,490,139,10,892,18,370,785,2586,824,7364,847,159
PA0221,413,448,438,311,12,305,275,191,163,123,127,129,108,50,1,215,7,56,218,2418,234,6840,343,135
PA0222,278,301,304,216,17,198,160,154,110,72,88,465,91,69,3,163,13,56,191,2175,176,6043,149,122
PA0223,804,1023,890,941,6,1286,1175,947,1248,987,943,744,945,281,6,2196,21,567,11042,1729,1920,4839,2360,1746
PA0224,1478,1538,1589,657,18,667,674,220,333,268,257,257,255,77,4,884,11,166,1427,1288,621,3899,870,161
PA0225,346,326,380,622,7,636,668,277,532,397,425,713,420,58,3,473,10,255,732,851,710,2338,830,73
PA0226,302,396,306,283,18,259,264,184,227,146,136,739,175,66,6,261,10,67,3379,1527,232,4654,926,103
PA0227,621,636,599,445,16,513,492,282,253,248,206,3841,585,124,25,591,27,264,2740,1677,487,5281,1232,144
PA0228,1638,1767,1669,1293,16,1307,1228,528,720,561,562,1036,606,137,6,1529,19,265,5827,2558,1221,8321,2531,188
PA0229,919,1086,1025,973,20,795,749,350,529,408,374,388,340,137,5,864,20,332,1791,2088,913,7090,1216,230
PA0230,4477,4773,4192,4084,19,3113,3020,903,1856,1602,1523,6544,1583,242,38,3155,15,1029,5199,2623,3631,9105,4433,222
PA0231,489,545,523,591,10,445,386,200,290,235,232,165,156,46,4,336,6,50,854,1469,517,4790,889,107
PA0232,284,303,320,229,3,193,146,106,145,101,99,64,56,25,3,161,7,30,364,597,240,2381,381,74
PA0233,932,939,957,1223,16,945,805,342,680,527,580,808,400,70,10,714,11,208,841,1580,904,5115,1206,102
PA0234,436,409,438,371,9,405,380,245,394,273,243,356,337,129,1,372,5,335,456,1395,530,3408,272,132
PA0235,291,320,319,202,13,213,214,178,139,116,121,743,171,52,9,253,14,106,281,2211,244,4623,291,116
PA0236,491,504,432,1137,12,1119,1018,447,1106,848,861,4727,1859,194,26,612,14,552,904,1279,864,4036,1306,77
PA0237,315,366,373,255,10,230,229,191,163,92,119,168,160,53,0,191,8,74,249,1694,170,6039,246,98
