Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA4322,,PA4322,0.785821568,0.001125468,0.719269767,1.102221736,-2.063743169,0.704027739,0.852373368,1.502670273,0.045928763,0.000120298,4.16E-05,0.025604419,0.007177227,0.000337551,0.018611708,3.49E-05,5.19E-06,0.01142268,0.002214385,3.66E-05
PA0041,,PA0041,0.784032521,0.040862957,0.982489149,0.939741297,-0.445584393,0.209481982,0.628323745,1.478053908,0.027666411,0.010247519,0.505567941,0.650424436,0.128379242,0.004832534,0.010303978,0.004704723,0.377179593,0.546590671,0.071421937,0.001251811
PA4716,,PA4716,0.783264369,0.002149477,0.890203067,0.746395747,-0.002244938,0.820132991,0.852743412,0.713657337,0.00626293,0.005757858,1,0.004715837,0.003869879,0.082528815,0.001820185,0.002478769,0.995131693,0.001675951,0.001068186,0.042423113
PA2595,,PA2595,0.781593016,0.114084397,0.105405282,1.050939565,-0.575612291,0.534464519,1.028721512,1.985197583,0.891696901,0.020545275,0.486590056,0.305364795,0.039150745,0.001672038,0.82456142,0.010204129,0.358751285,0.211472355,0.016696439,0.000322209
PA2509,catB,catB,0.780882657,0.064985462,-1.428675259,-0.608912068,1.952958248,-0.391192935,2.958645788,3.230343409,0.174726194,0.454483812,0.084292008,0.687960394,0.000660684,0.002222338,0.092637387,0.365309909,0.037333538,0.589076652,0.00013485,0.000470755
PA1152,,PA1152,0.780460681,0.131763376,0.834131629,0.992221123,-0.000442927,1.60512734,0.726789732,-0.321137881,0.218685166,0.061133587,1,0.003976562,0.223217621,0.737271587,0.123124514,0.034954439,0.999493549,0.001379723,0.140402238,0.649435187
PA2760,oprQ,oprQ,0.779027607,0.123529181,1.006261562,1.974472967,0.199702215,1.272082408,0.551793652,-0.843885299,0.08978556,3.73E-05,0.834770632,0.012635769,0.320641123,0.297844636,0.041473428,9.70E-06,0.749624166,0.005124827,0.218877662,0.205584934
PA2956,,PA2956,0.77819769,0.023712394,0.820434373,1.120861004,0.601248962,1.098574974,0.696563001,0.735961007,0.046336814,0.000684654,0.272097302,0.001915497,0.06058797,0.148204259,0.018874648,0.00023707,0.165942107,0.000604098,0.02855014,0.086951007
PA0390,metX,metX,0.776043374,0.009425008,0.577131816,0.874004468,-0.781743722,0.67808228,1.082879469,1.656097411,0.132540593,0.003145522,0.132316045,0.037281491,0.000763317,0.000109262,0.06619347,0.001275764,0.065018092,0.017574252,0.000160219,8.30E-06
PA0347,glpQ,glpQ,0.775201224,0.048200727,0.867060031,0.683342416,-0.327507365,-0.066487624,1.38134145,2.022870891,0.084263175,0.095825465,0.667562391,0.909237112,0.001487331,0.000361595,0.03833102,0.058070434,0.550257986,0.861206159,0.000346122,3.97E-05
PA3014,faoA,faoA,0.774835392,0.158434192,0.518049412,0.023331215,1.031621371,2.417389595,1.416787759,-0.589544787,0.383538428,0.976332544,0.126715581,2.03E-07,0.002796772,0.433609817,0.255267443,0.951658644,0.061600941,2.36E-08,0.000722508,0.327947054
PA5295,,PA5295,0.774747197,0.04352989,0.838206797,1.036288628,-0.41220662,0.488418439,1.049448128,0.711287597,0.027358022,0.000744566,0.464192084,0.164242981,0.001820378,0.134204306,0.01015963,0.00026082,0.336453721,0.09927217,0.000438961,0.076900151
