Locus,Name,LocusName,MedianSputumEffect,MedianSputumP,sp1.Est,sp2.Est,sp3.Est,sp4.Est,sp5.Est,sp6.Est,sp1.FDR,sp2.FDR,sp3.FDR,sp4.FDR,sp5.FDR,sp6.FDR,sp1.P,sp2.P,sp3.P,sp4.P,sp5.P,sp6.P
PA2350,,PA2350,-1.074742834,0.075293677,-1.045288717,-1.399431977,-1.4248687,-1.10419695,0.323453626,1.830500145,0.19231023,0.015136709,0.184979396,0.093181072,0.662587005,0.02882605,0.105194744,0.007262858,0.099663194,0.050924159,0.562229078,0.011832947
PA2265,,PA2265,-1.077514803,0.099854583,-1.19768968,-2.52152397,-2.758718763,-0.957339926,0.101260898,0.373220341,0.164545808,4.00E-05,0.020531463,0.184179945,0.914981572,0.740196312,0.086027021,1.04E-05,0.006702092,0.113682146,0.86590784,0.653160242
PA2176,,PA2176,-1.077649658,0.108042367,-3.015871806,-2.64470955,-0.439549704,0.296571353,-0.788668072,-1.366631243,3.67E-05,5.23E-07,0.673905133,0.668236202,0.208937863,0.147689307,4.66E-06,9.23E-08,0.558236614,0.566558282,0.129513607,0.086571128
PA3995,,PA3995,-1.078879753,0.000223009,-1.657932274,-1.798237757,-0.583762552,-1.079473666,-1.07828584,-0.458475574,1.24E-05,3.67E-10,0.273724111,0.000794199,0.001012565,0.375883456,1.33E-06,3.48E-11,0.167452822,0.000223708,0.000222309,0.273633657
PA5095,,PA5095,-1.079724021,0.010465159,-1.802430714,-2.42545828,-0.075042632,-1.278884048,-0.880563995,-0.311840751,0.000337467,1.65E-10,0.933191428,0.002538433,0.045552571,0.66426569,6.14E-05,1.48E-11,0.888153232,0.000832185,0.020098133,0.564007969
PA1340,aatM,aatM,-1.079890421,0.038943244,-0.879802491,-0.702524129,-2.373689771,-1.718353521,-0.65744197,-1.279978351,0.10017388,0.084520967,0.001077198,7.23E-05,0.155005609,0.063402221,0.047309216,0.050359544,0.000205496,1.57E-05,0.09001642,0.030577273
PA0232,pcaC,pcaC,-1.080467894,0.011648268,-1.069407616,-1.091528173,-2.085311205,-1.594182137,0.380551389,2.20594303,0.113981365,0.029522186,0.023749968,0.003913523,0.539280497,0.001820491,0.054950496,0.01528957,0.008006965,0.001355104,0.428357938,0.000363587
PA0889,aotQ,aotQ,-1.081610648,0.000960503,-1.540899,-1.078578877,-1.457988122,-1.079722016,-0.897689673,-1.08349928,7.87E-05,0.000302991,0.006124205,0.001136626,0.008584925,0.036534317,1.13E-05,9.58E-05,0.001587478,0.000333527,0.002714994,0.015779388
PA0589,,PA0589,-1.082496182,0.007067869,-0.944419224,-1.010985423,-1.680449852,-1.204183092,-0.841933977,-1.154006941,0.036491684,0.002999082,0.005948881,0.001390828,0.031209245,0.050145206,0.014332816,0.001211107,0.001532636,0.000419836,0.012603102,0.023127694
PA1992,ercS,ercS,-1.082785717,0.003642684,-1.582485101,-1.421167551,-0.166167084,-1.382146364,-0.78342507,0.921731567,3.26E-05,8.38E-07,0.784875635,1.64E-05,0.019700302,0.041275115,4.07E-06,1.54E-07,0.688315821,3.02E-06,0.007281298,0.018341276
PA4153,,PA4153,-1.083426397,0.009607819,-1.783220934,-1.6549773,-2.222158216,-0.511875494,0.634571698,1.037298182,5.01E-05,5.71E-07,0.000273117,0.196483482,0.104163339,0.042907803,6.67E-06,1.02E-07,4.34E-05,0.12320735,0.055701245,0.019172212
PA2162,,PA2162,-1.084735665,0.098194703,-1.564837518,-1.632573944,-3.379452437,-0.604633813,0.045874642,1.336872282,0.112575642,0.022045684,0.017137037,0.488467095,0.972538033,0.221485202,0.054075032,0.011051462,0.005416603,0.380623711,0.946765263,0.142314374
PA1933,,PA1933,-1.088063234,0.025864792,-0.48355166,-1.116949989,-1.923986592,-0.800119605,-1.059176478,-2.24013942,0.528463106,0.030766202,0.042164536,0.180290204,0.072555422,0.016949677,0.392125419,0.01600944,0.016050347,0.110901574,0.035679237,0.006074775
PA5543,,PA5543,-1.088205004,0.070274548,-0.927630311,-1.544080949,-1.248779697,-1.853714986,-0.668025459,-0.504343325,0.142017037,0.000689751,0.138420508,0.00027749,0.219094149,0.546488384,0.071581771,0.000239198,0.068967326,6.90E-05,0.137329291,0.437969928
PA1445,fliO,fliO,-1.08895204,0.000628096,0.095286292,-1.314666017,1.336977798,-0.863238063,-1.402435562,-2.312562844,0.864932695,2.49E-05,0.005005032,0.014759662,7.54E-05,9.43E-05,0.7844809,6.30E-06,0.001245548,0.006113163,1.06E-05,6.82E-06
PA3078,cprS,cprS,-1.093690437,0.016816269,-1.154665429,-1.032715445,-2.047764698,-1.554631827,-0.257293012,-0.200138666,0.05382139,0.021857421,0.012465731,0.001647176,0.656112014,0.817021997,0.022688483,0.010944054,0.003727906,0.000507624,0.555584437,0.748339383
PA2151,,PA2151,-1.095038317,0.185503826,-1.91295391,-1.934231545,-1.595340173,-0.59473646,-0.389644669,0.591625582,0.015382356,0.000842188,0.145474144,0.40009005,0.600527319,0.555666931,0.005150849,0.000298712,0.073502994,0.297504658,0.49397535,0.447542821
PA0384,,PA0384,-1.097135643,0.009269341,-1.885218615,-1.430866376,-0.027788881,-1.30433887,-0.889932416,0.22500785,0.00016468,0.000146677,0.982924867,0.001997181,0.041469316,0.749089662,2.66E-05,4.34E-05,0.957948799,0.000635116,0.017903566,0.663637173
PA5208,,PA5208,-1.097370112,0.091614984,-2.207089491,-0.399535056,0.125632083,-0.565396261,-1.629343962,-1.869233044,0.000102895,0.391780827,0.895258026,0.266212397,0.000709706,0.014821439,1.54E-05,0.305008731,0.830682552,0.178097869,0.000146973,0.005132099
PA0520,nirQ,nirQ,-1.09857663,0.043606399,-0.233005835,-1.603756564,-1.513765515,-1.08646951,-0.653672195,-1.110683751,0.724318768,8.25E-05,0.043338814,0.018862318,0.179817082,0.125862228,0.609149796,2.31E-05,0.016550589,0.00807723,0.108248473,0.070662209
PA3103,xcpR,xcpR,-1.098579986,0.002298801,-0.542186525,-1.110713445,0.083341077,-1.81973463,-1.086446528,-1.805810483,0.301977565,0.002383329,0.920658731,6.23E-06,0.00919135,0.006028743,0.185966879,0.000942373,0.869762364,1.05E-06,0.002943877,0.001653725
PA1121,yfiR,yfiR,-1.099371785,0.000691371,-1.156963065,-1.112681065,0.002063451,-0.991334903,-1.086062505,-1.439317516,0.002491191,0.000137446,1,0.002352448,0.001035064,0.00531978,0.000624328,4.04E-05,0.995999943,0.000758415,0.000227976,0.001419034
PA3797,,PA3797,-1.099567667,0.000949147,-0.827746342,-1.455206355,0.429155577,-0.985129996,-1.214005338,-1.763903264,0.047256776,2.23E-06,0.441592517,0.004504307,0.000538137,0.001629662,0.019365492,4.43E-07,0.314151101,0.001586547,0.000106626,0.000311747
PA2547,,PA2547,-1.099912994,0.033516349,-1.583164272,-1.590122326,-1.362116904,-0.837709084,-0.51336177,0.478384414,0.003327102,8.58E-05,0.067145232,0.074027063,0.300852771,0.495133803,0.000879364,2.42E-05,0.028187328,0.03884537,0.202636633,0.386673202
PA0927,ldhA,ldhA,-1.100197579,0.003105475,-1.156065011,-1.044330148,-1.313465811,-1.67026143,-0.86765121,-0.501258331,0.004309523,0.000733926,0.017139371,9.45E-07,0.014310641,0.363631165,0.001182888,0.000256449,0.00542264,1.27E-07,0.005028063,0.261842518
PA3504,,PA3504,-1.100343052,0.008692399,-0.989331932,-1.397417634,-1.385012188,-1.211354173,-0.695573025,0.479258818,0.027303117,2.84E-05,0.021928074,0.001187982,0.076360402,0.399763415,0.01013445,7.25E-06,0.007250349,0.000351933,0.037979182,0.296187262
PA5519,,PA5519,-1.101327564,0.000403756,-1.360596881,-1.619103407,-0.107321621,-0.991095935,-0.922123476,-1.211559192,8.51E-05,8.78E-10,0.854321692,0.000814061,0.002304885,0.009073005,1.24E-05,8.89E-11,0.776206283,0.000229874,0.000577637,0.00273878
PA2057,sppR,sppR,-1.101343411,0.03766444,-1.120225653,-1.432063361,-1.471216229,-1.082461169,-0.093560643,1.280898344,0.08280419,0.002420691,0.092247007,0.044364687,0.895155582,0.075468642,0.037554825,0.000959695,0.041639049,0.021364812,0.840327695,0.037774055
PA0298,spuB,spuB,-1.102252577,0.11098611,-0.460389225,-0.36848376,-0.697438126,-1.554313612,-1.507067028,-2.088111016,0.42502814,0.392232224,0.336892396,0.000331609,0.000659437,0.003518357,0.29232519,0.305428989,0.221126283,8.42E-05,0.000134364,0.000845937
PA2458,,PA2458,-1.102792501,0.012297059,-0.92393287,-0.337585905,-1.955291333,-0.648696448,-1.281652132,-2.058358364,0.056555106,0.394848691,0.002774336,0.121350882,0.001650306,0.001757505,0.023969916,0.308159377,0.000624201,0.069471144,0.000391716,0.00034453
PA2227,vqsM,vqsM,-1.10371578,0.080748276,-1.22266557,-0.439707787,-1.381710641,-0.405803257,-0.984765989,-2.830908454,0.103668539,0.466022503,0.176721683,0.556429028,0.122582303,0.006663356,0.049232549,0.376056769,0.093815975,0.448033763,0.067680577,0.001860548
PA3425,,PA3425,-1.104132235,0.035998217,-1.342351065,-1.545453868,-0.267455501,-1.470148986,-0.865913404,0.429974704,0.031666682,0.000858698,0.781365141,0.004702337,0.110851943,0.599490693,0.012076465,0.00030502,0.683454522,0.001670328,0.059919969,0.49417476
PA1515,alc,alc,-1.10413237,0.002189218,-0.216416223,-0.126980675,-2.999881231,-0.970889844,-1.237374896,-1.783452453,0.682130409,0.753116658,1.84E-06,0.009453559,0.001052665,0.002997056,0.56086012,0.681240117,1.54E-07,0.0036915,0.000232222,0.000686935
PA0554,,PA0554,-1.104626365,0.052690011,-1.632518319,-1.569249901,-0.011886125,-0.166236466,-0.640002829,-1.782450157,0.00172944,5.96E-05,0.999266153,0.756533328,0.170883717,0.011857223,0.00040732,1.62E-05,0.982781243,0.669435072,0.101486574,0.003893448
PA3546,algX,algX,-1.108222338,0.0798351,-1.624707155,-1.04945886,-1.658517873,-1.166985816,0.677204762,2.163504899,0.078244727,0.129157219,0.192727795,0.132121735,0.408667635,0.025436613,0.035085166,0.082757635,0.105361018,0.076912565,0.299077578,0.010057685
PA0195.1,pntAB,pntAB,-1.109767528,0.009510725,-1.562177228,-1.693368719,-0.686427645,-1.382384726,-0.83715033,-0.254680609,0.000913104,1.95E-06,0.299331639,0.000520998,0.043113947,0.706027128,0.000191979,3.85E-07,0.188592591,0.000138616,0.01882947,0.614459201
PA3922,,PA3922,-1.114501599,0.013258152,-2.067463961,-2.389654328,5.270947572,0.228235555,-1.041672302,-1.187330896,0.001074291,3.51E-07,8.88E-16,0.71841241,0.056748334,0.156682957,0.000233599,5.93E-08,8.73E-18,0.62284263,0.026282705,0.092997852
PA2237,pslG,pslG,-1.114649814,0.005604759,-1.244042589,-0.189417055,-2.003255389,-2.000134811,-0.985257039,-0.27915994,0.01110374,0.663075074,0.003020987,1.06E-06,0.020606243,0.690369883,0.003542752,0.578939714,0.000689769,1.46E-07,0.007666766,0.595380415
PA4102,bfmS,bfmS,-1.115151797,0.042414702,-1.274254625,-1.456750198,-0.956048968,-1.706883533,0.203251536,2.282871087,0.146004798,0.021465427,0.425073111,0.016025682,0.813282777,0.011711377,0.074104225,0.010725179,0.297581018,0.006727524,0.73945278,0.003818838
PA2317,,PA2317,-1.115197997,0.004652861,-1.11763637,-1.573182949,-1.282235416,-1.112759625,-0.354661455,0.132804662,0.006695504,4.02E-07,0.022152406,0.001407731,0.360352259,0.827995146,0.001969404,6.87E-08,0.007336318,0.000425185,0.255202376,0.760860404
PA3185,,PA3185,-1.115213426,0.019444669,-0.603471298,-1.364294182,-1.902510315,-0.285145788,-0.866132671,-2.356879719,0.311924554,0.000938563,0.012120488,0.591031612,0.071832562,0.002222338,0.193899047,0.000337343,0.003603388,0.48543839,0.035285949,0.0004704
PA4276.1,,PA4276.1,-1.1152765,0.125260387,-1.160736416,-1.069816583,-2.066726769,1.039209546,-0.005420292,-2.384996493,0.27217129,0.184326639,0.186588013,0.197975001,1,0.081758653,0.163073497,0.126065446,0.100858386,0.124455327,0.993911258,0.041883733
PA4541,lepA,lepA,-1.118421174,0.002826122,-0.842126361,-1.591421743,-1.25389259,-0.982949759,-0.813007098,-1.268473462,0.021775858,5.63E-09,0.01044107,0.001379079,0.010271948,0.008905132,0.007742697,6.68E-10,0.00298133,0.000415805,0.003394538,0.002670914
PA2706,,PA2706,-1.118467908,0.00105693,-1.154555317,-1.082380498,-1.72270959,-0.414791431,-0.926506774,-1.988754495,0.005544688,0.000635627,0.002450936,0.278435004,0.010526319,0.000627563,0.001574466,0.000217862,0.000539395,0.188327221,0.003495226,8.49E-05
PA2628,,PA2628,-1.118893643,0.00464271,-1.182871301,-1.233311684,-2.544867406,-1.054915986,-0.8820946,-0.811198257,0.015363949,0.000771291,0.000196576,0.010469886,0.037976132,0.209752226,0.005139292,0.000271671,2.96E-05,0.004146128,0.016068876,0.133073762
PA1349,,PA1349,-1.120736502,0.000831803,-2.333301645,-2.754125789,1.374206926,-1.175692436,-1.065780568,-0.611634061,1.22E-07,2.34E-16,0.005430395,0.00137414,0.00440211,0.290127803,7.03E-09,7.85E-18,0.001371418,0.000413587,0.00125002,0.198934596
PA0436,,PA0436,-1.120815777,0.009774567,-1.134737928,-1.106893625,-0.441872342,-1.372644335,-0.674648768,-1.248865196,0.011839792,0.001167379,0.496063499,0.000273807,0.090810687,0.036439539,0.003817076,0.000432492,0.368086429,6.80E-05,0.046935324,0.015732058
PA2140,,PA2140,-1.120946145,0.102226395,-1.870000968,-1.779210517,-1.306457474,-0.935434817,0.246498499,2.112990962,0.057093891,0.013633991,0.334802929,0.268606732,0.798962765,0.039156849,0.024258391,0.006472437,0.219312439,0.1801944,0.720019971,0.017221317
PA2156,,PA2156,-1.121924333,0.014290722,-1.542675738,-1.652993565,-1.741653422,-0.701172928,-0.025347829,1.871425515,0.018769658,0.000696597,0.054969212,0.226766194,0.98051471,0.008932167,0.006499216,0.000242061,0.022082227,0.146230262,0.957800084,0.002685293
PA2245,pslO,pslO,-1.122256415,0.033750886,-1.04082602,-0.901814461,-1.474698559,0.429183987,-1.203686809,-1.676820508,0.098296382,0.056321077,0.081313642,0.449271615,0.022792916,0.04148457,0.046258962,0.031739753,0.03576202,0.342985526,0.008624289,0.018456192
PA2122,,PA2122,-1.12363818,0.003501176,-1.660217894,-1.342069595,-0.302400795,-1.431261341,-0.905206766,0.805864166,0.000165693,5.75E-05,0.64673858,0.000114264,0.018935879,0.129278204,2.69E-05,1.55E-05,0.527754629,2.59E-05,0.006975502,0.073328739
PA0866,aroP2,aroP2,-1.125556185,1.81E-05,-1.661516542,-1.062275244,-1.880298842,-1.188837125,-0.884893987,-0.681482272,2.37E-06,8.05E-05,9.26E-05,6.41E-05,0.003990215,0.146470321,2.08E-07,2.24E-05,1.28E-05,1.38E-05,0.001113451,0.085753771
PA4225,pchF,pchF,-1.126088685,0.109813138,-0.997285942,-0.91431091,-2.518958424,-1.163549522,-1.088627848,-2.104997746,0.335910419,0.222598418,0.070051702,0.162862064,0.197867168,0.112869656,0.213407462,0.156551512,0.029739394,0.098294601,0.121331675,0.061723736
PA3541,alg8,alg8,-1.126499919,0.012219008,-1.076112754,-1.195838417,-1.587927346,-1.176887083,-0.550971548,0.186209817,0.039772524,0.002198177,0.025231777,0.006978583,0.240404752,0.802476139,0.015851773,0.00086492,0.008586243,0.002625848,0.154023309,0.729523763
PA0429,,PA0429,-1.127343811,0.015126697,-0.659585064,-1.225621974,-1.029065647,-1.374431553,-0.888259566,-1.972586745,0.253070138,0.002575263,0.169619805,0.002384773,0.059620326,0.007692544,0.149097307,0.001028659,0.089037002,0.00077051,0.028031389,0.002222006
PA1526,,PA1526,-1.128507235,0.001935938,-1.468521425,-0.863393822,-1.056032289,-1.067352707,-1.189661764,-2.636861996,0.001825965,0.017984368,0.104813773,0.007707839,0.00348802,0.000125077,0.000435501,0.008796496,0.048783104,0.002934065,0.000937811,9.83E-06
PA2159,,PA2159,-1.128626709,0.216561281,-2.451586065,-3.108496555,-0.080224543,-0.086469488,-0.596669449,-1.660583969,0.005353676,1.62E-06,0.960996718,0.929157662,0.453066857,0.15459275,0.001508012,3.15E-07,0.928047199,0.890021502,0.341668706,0.091453856
PA0204,,PA0204,-1.130552195,0.103152414,-1.115545378,-1.145559013,-1.881931216,-1.277438994,0.828637719,2.330255644,0.309705394,0.145560404,0.199782177,0.149438386,0.369232999,0.033411315,0.191812976,0.095439395,0.110865434,0.088750351,0.263484954,0.014178679
PA4369,,PA4369,-1.13180343,0.028497002,-0.93261464,-1.330992221,0.773199921,-0.031824809,-1.619808013,-2.164158124,0.114458108,0.001875847,0.287241049,0.965131995,0.000871694,0.00608437,0.055320749,0.000727557,0.178000727,0.940006534,0.000186945,0.001673255
PA5097,,PA5097,-1.131959928,0.051078756,-1.199507734,-1.808057999,-1.208041026,-1.064412122,-0.327983348,0.483967473,0.053202845,7.30E-05,0.155211706,0.041475538,0.576222125,0.544704058,0.022399724,2.02E-05,0.079757788,0.019835177,0.467915018,0.435820604
PA3711,,PA3711,-1.131984965,0.01371607,-1.635340893,-1.110140079,0.617995419,-1.153829852,-1.803648156,-0.88751349,0.011006829,0.022804027,0.466169697,0.034219653,0.000974606,0.300995081,0.0035099,0.011482056,0.33865258,0.015950083,0.000212778,0.208340576
PA0650,trpD,trpD,-1.132177871,0.031981879,-1.177163737,-1.087192005,0.999525471,-0.378655346,-1.701647234,-3.241316011,0.094046785,0.037493885,0.238144858,0.560130601,0.003640088,0.001306884,0.04395342,0.020010338,0.139091978,0.45199728,0.000989473,0.00023181
PA1995,,PA1995,-1.13408597,0.001600046,-1.332709894,-1.079439128,1.71488027,-0.237321401,-1.462016209,-1.188732811,0.006079348,0.003503045,0.001575767,0.620059235,0.000442552,0.06593442,0.001761496,0.001438597,0.000319689,0.514938627,8.43E-05,0.032095438
PA0689,lapB,lapB,-1.134800151,0.000907251,-1.179718745,-1.463468452,-0.872629413,-1.001522924,-1.120632989,-1.148967313,0.002998275,1.12E-06,0.112056252,0.003085034,0.001112016,0.029688135,0.000779299,2.10E-07,0.052979913,0.001035203,0.000247617,0.012291317
PA4476,,PA4476,-1.134953304,0.023992048,-0.659522964,-0.764208355,-2.48508695,-1.575134559,-0.812631904,-1.457274704,0.233769833,0.058238583,0.000622653,0.000270544,0.073793083,0.034899078,0.133623788,0.033033472,0.000109802,6.71E-05,0.036404415,0.014950623
PA0277,,PA0277,-1.135123671,0.00349142,0.064868711,-1.321586722,-1.27099157,-0.999255773,-1.316653067,-0.700323039,0.905193914,1.08E-05,0.018546416,0.003082963,0.000114297,0.186091919,0.846891674,2.55E-06,0.005949956,0.001032885,1.74E-05,0.114829622
PA0157,triB,triB,-1.135492607,0.001093982,-1.327165579,-1.446584947,0.281339721,-1.483542953,-0.943819636,-0.106269753,0.000862256,1.61E-06,0.625799533,9.54E-06,0.00656869,0.862375559,0.000179775,3.12E-07,0.504329845,1.67E-06,0.002008188,0.805015022
PA1237,,PA1237,-1.135536161,0.018940815,-1.291635531,-1.629262347,-2.059647639,-0.979436792,0.190695406,1.96670847,0.062394269,0.001335058,0.030782367,0.095654609,0.785214528,0.008289105,0.026925744,0.000500705,0.010955886,0.052460627,0.702667367,0.002452691
PA0299,spuC,spuC,-1.136740364,0.036643552,0.190473216,-0.017004841,-1.360757623,-1.159702228,-1.1137785,-2.155044963,0.805546188,0.986779796,0.117397828,0.029100095,0.040144566,0.012493471,0.711108691,0.968595893,0.05608229,0.013217102,0.017204814,0.004148411
PA1487,,PA1487,-1.137458574,0.07276813,-1.393878185,-1.696490047,-0.881038963,-1.70134145,-0.221375697,0.991429985,0.037879115,0.000615028,0.344330272,0.002222347,0.741324789,0.206520289,0.014984122,0.000210262,0.227156457,0.000713741,0.650339152,0.130552138
PA3819,,PA3819,-1.137554218,0.013749234,-2.500979822,-1.716774399,1.061885395,1.964210132,-0.558334038,-2.462647412,0.006484541,0.01043721,0.339585196,0.009154784,0.504500292,0.049372305,0.001900143,0.004796565,0.223251341,0.003561979,0.392054632,0.022701902
PA2238,pslH,pslH,-1.138730855,0.028049898,-1.265599489,-0.045966403,-2.916434877,-1.957230564,-1.011862222,-0.423870955,0.052183681,0.95061146,0.001617,0.000267806,0.070253579,0.638642947,0.021860731,0.917204712,0.000328622,6.63E-05,0.034239064,0.536639178
PA0906,alpR,alpR,-1.138829161,0.010254032,-1.260589584,-0.015218521,-1.774636648,-0.728622313,-1.027414974,-1.250243347,0.005804002,0.981875785,0.004700072,0.067964594,0.009575663,0.039505626,0.00167051,0.962231377,0.001153159,0.035246644,0.00310562,0.017402443
PA5357,,PA5357,-1.13945952,0.00215153,-1.241390735,-1.303615093,1.149482955,-0.06567567,-1.037528304,-1.793578778,0.006043889,0.000134818,0.031697171,0.898679428,0.008160596,0.003682419,0.001748039,3.95E-05,0.011376047,0.846947793,0.00255502,0.000898309
PA2984,,PA2984,-1.141514759,0.020197853,-1.036870344,-1.75256327,-1.246159174,-1.732422437,-0.977907142,-0.500599923,0.058473214,1.23E-05,0.092642137,0.000114418,0.036849204,0.498917046,0.024926542,2.96E-06,0.041849923,2.60E-05,0.015469164,0.390463745
PA2152,,PA2152,-1.14300063,0.044349322,-1.33003236,-1.694679263,-2.199455679,-0.955968899,-0.671445639,0.505700586,0.059949872,0.001043386,0.024324997,0.111998514,0.285028371,0.577165484,0.025682281,0.000380329,0.008213635,0.063016363,0.189585386,0.470605623
PA3352,,PA3352,-1.144953391,0.128006734,-1.613223374,-2.037683111,-0.676683408,-0.381567488,-0.461420794,-2.833807801,0.002963502,5.17E-07,0.378918226,0.453104759,0.360352259,0.00036217,0.000769221,9.11E-08,0.25669083,0.346548007,0.255244246,3.99E-05
PA1894,,PA1894,-1.14524118,0.043911034,-1.54118788,-1.351812443,-1.24049562,-1.04998674,0.375024005,1.760776099,0.050435548,0.021102185,0.255324506,0.117613075,0.612093442,0.038142229,0.020960228,0.010525168,0.151724952,0.06686184,0.506282273,0.016663488
PA2233,pslC,pslC,-1.146807532,0.004731944,-1.070900219,-0.659021574,-2.249765841,-1.002972001,-1.222714846,-1.665244596,0.028047966,0.083725068,0.00080538,0.014608541,0.003237331,0.010773824,0.010474916,0.049841248,0.000147563,0.006041526,0.000859065,0.003422362
PA3517,,PA3517,-1.148128032,0.083823248,-1.34729512,-1.60703017,-0.948960943,-1.442347389,-0.415167233,0.737761709,0.027254015,0.000384776,0.262214394,0.004551315,0.465587486,0.31924713,0.01011144,0.000125062,0.157535055,0.001607098,0.3540524,0.224506569
PA3118,leuB,leuB,-1.149588939,0.01951786,-0.94813255,-1.351045329,-0.876410334,-1.443865169,-0.834521589,-2.553129047,0.086952173,0.000837714,0.243892273,0.001378113,0.077366797,0.00090129,0.039935738,0.000296831,0.143048083,0.000415272,0.038620448,0.000139195
PA4152,,PA4152,-1.149648383,0.004669738,-1.695836021,-1.981814341,-2.647129362,-0.603460745,0.955591591,1.721047087,0.009907224,5.04E-05,0.004698973,0.306114664,0.093761405,0.017332653,0.003103614,1.34E-05,0.001151667,0.212099104,0.048838865,0.006235861
PA2481,,PA2481,-1.150101358,0.000577998,-1.033488461,-0.830345632,-2.570798852,-0.708337133,-1.266714254,-1.774268068,0.004084055,0.002794536,3.21E-07,0.023180336,4.29E-05,0.000396171,0.001110966,0.001125073,2.29E-08,0.010215132,5.47E-06,4.50E-05
PA1357,,PA1357,-1.150447146,0.001747589,-0.954913654,-1.527355018,0.531683149,-1.209974708,-1.090919583,-1.851569738,0.047814259,1.75E-05,0.399863739,0.002474132,0.007778492,0.004284553,0.019652684,4.34E-06,0.275722119,0.000805461,0.002419005,0.001076174
PA5392,,PA5392,-1.150796444,0.136647663,-1.483146599,-1.032960648,-1.813618008,-1.26863224,1.118350979,2.930673627,0.205339424,0.232379438,0.25828981,0.191537333,0.251680022,0.011765032,0.113913289,0.164924965,0.154031024,0.119264303,0.162854377,0.003848722
PA5218,,PA5218,-1.153660505,0.002227698,-0.957153133,-1.374016829,-1.500637606,-1.350167877,-0.903967612,-0.088306762,0.017440371,5.11E-06,0.00567454,5.67E-05,0.009363039,0.887508338,0.005962416,1.12E-06,0.001445026,1.19E-05,0.00301037,0.836826663
PA1256,lhpO,lhpO,-1.155099267,0.032487333,-1.489147632,-1.899180578,-0.821050901,-1.709188275,-0.236660259,1.847401453,0.091156567,0.002946561,0.503628072,0.018040883,0.785643408,0.049371171,0.04228195,0.001189381,0.375236994,0.007671933,0.703742358,0.022692716
PA0297,spuA,spuA,-1.155163354,0.011128744,-1.136142391,-1.157684821,0.972313643,-1.152641888,-1.702610495,-3.522157727,0.079322266,0.015744779,0.214045783,0.031885486,0.001606796,0.000239147,0.035707549,0.007585015,0.121184924,0.014672472,0.000380127,2.28E-05
PA4478,,PA4478,-1.158538732,0.009909808,-1.090523046,-0.719109167,-1.226554418,-1.435582458,-0.766002597,-1.33385474,0.01086895,0.031222422,0.034795787,6.04E-05,0.041701867,0.019099476,0.00345258,0.016296154,0.012757033,1.29E-05,0.018018602,0.007062583
PA2369,hsiG3,hsiG3,-1.158696359,0.014231997,-0.9791169,-1.338275819,-2.659114887,-1.520598566,-0.292063387,1.238353072,0.095666896,0.001812096,0.001050335,0.001483192,0.597031249,0.058615796,0.044844907,0.000699159,0.000199634,0.000452402,0.490470915,0.027764835
PA3710,,PA3710,-1.160839184,0.000845102,-1.465015979,-1.249674049,-0.036987249,-1.237347895,-1.084330472,-0.368010244,0.000976317,0.000208416,0.968081494,0.000983762,0.004863741,0.555800587,0.000208697,6.38E-05,0.938009465,0.000283492,0.001406712,0.447917918
PA2235,pslE,pslE,-1.165572105,0.006889866,-1.092632255,-0.098075844,-3.125327679,-2.031744758,-1.238511955,-0.780751422,0.032725069,0.838281655,1.82E-05,1.61E-06,0.004377297,0.247761831,0.012537526,0.781052529,2.02E-06,2.32E-07,0.001242206,0.163580205
PA2061,sppD,sppD,-1.165706332,0.020942538,-1.01247527,-1.474525721,-1.318937393,-1.571304184,-0.731682132,0.754081582,0.047441659,9.24E-05,0.055583876,0.000187996,0.099343065,0.217061055,0.019468133,2.62E-05,0.022416944,4.50E-05,0.052513393,0.13873927
PA3973,,PA3973,-1.16769273,0.051516722,-0.821775808,-1.513609653,-2.386484185,-0.307097878,-0.382245763,-1.743432942,0.17535668,0.000444299,0.003171169,0.580078497,0.484127839,0.025046681,0.093156313,0.000146904,0.000731294,0.472492626,0.37137992,0.009877131
PA1419,,PA1419,-1.168590856,0.138331962,-1.933118816,-1.746037365,-2.211498735,-0.591144346,-0.195085801,0.675805656,0.00802404,0.001177894,0.030101524,0.366828702,0.792336153,0.456848724,0.002419323,0.000436801,0.010665427,0.265998497,0.712586093,0.349084443
PA4786,,PA4786,-1.168660695,0.00072366,-2.318943767,-2.319940259,0.782229881,-0.905323733,-1.292893914,-1.044427475,6.08E-10,1.31E-16,0.090423903,0.004136383,4.87E-05,0.033091713,2.00E-11,4.19E-18,0.040705039,0.001440983,6.34E-06,0.014025357
PA3371,,PA3371,-1.169154372,0.03241264,-2.977500084,-2.480457857,5.299045113,0.507919084,-0.965613519,-1.372695225,4.79E-05,2.66E-06,6.12E-13,0.433259551,0.118533425,0.14653791,6.34E-06,5.38E-07,1.02E-14,0.328024167,0.064818941,0.08581906
PA0710,gloA2,gloA2,-1.170242335,0.003479616,-1.15160695,-1.769216428,-0.900119166,-1.355806043,-1.176682136,-1.163802534,0.016824327,1.02E-06,0.176744418,0.000802857,0.00436904,0.066549143,0.005720136,1.90E-07,0.09398659,0.00022657,0.001239096,0.032457014
PA4499,psdR,psdR,-1.171833304,0.001476819,-1.028349135,-1.455428219,-0.518849208,-1.315317474,-0.834096757,-1.610452132,0.008180851,6.60E-07,0.34391616,5.46E-05,0.01392484,0.002242464,0.002476653,1.19E-07,0.226781004,1.14E-05,0.004860742,0.000476986
